Time resolution is 1 ps
================================================
Bat dau mo phong RISC-V
Clock Wizard va PC dang reset
================================================
[0] locked_0 thay doi thanh 0
[825000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[835000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[845000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[855000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[865000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[875000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[885000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[895000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[905000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[915000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[925000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[935000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[945000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[955000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[965000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[975000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[985000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
[995000] clk_rst=0 pc_rst=0 locked=1 C=1 N=0 V=0
